D1;MP30;00:00:00;4561;2784;1
D2;MP30;00:00:15;5615;5869;1
D3;MP30;00:00:30;751;2272;1
D4;MP30;00:00:45;7780;274;1
D5;MP30;00:01:00;1479;1978;1
D6;MP30;00:01:15;1816;1857;1
D7;MP30;00:01:30;1727;5038;1
D8;MP30;00:01:45;6543;4552;1
D9;MP30;00:02:00;5188;3089;1
D10;MP30;00:02:15;6955;7577;1
D11;MP30;00:02:30;5431;4170;1
D12;MP30;00:02:45;307;5903;1
D13;MP30;00:03:00;7153;7920;1
D14;MP30;00:03:15;2923;1861;1
D15;MP30;00:03:30;4322;1262;1
D16;MP30;00:03:45;6293;4210;1
D17;MP30;00:04:00;7531;4006;1
D18;MP30;00:04:15;2358;826;1
D19;MP30;00:04:30;4189;7392;1
D20;MP30;00:04:45;7162;3795;1
D21;MP30;00:05:00;5701;898;1
D22;MP30;00:05:15;6329;3154;1
D23;MP30;00:05:30;2465;4266;1
D24;MP30;00:05:45;5608;3649;1
D25;MP30;00:06:00;6643;4210;1
D26;MP30;00:06:15;710;1406;1
D27;MP30;00:06:30;7464;4137;1
D28;MP30;00:06:45;3285;6035;1
D29;MP30;00:07:00;137;4450;1
D30;MP30;00:07:15;5849;4725;1
D31;MP30;00:07:30;727;3593;1
D32;MP30;00:07:45;6149;3004;1
D33;MP30;00:08:00;7536;10;1
D34;MP30;00:08:15;2695;390;1
D35;MP30;00:08:30;4580;3881;1
D36;MP30;00:08:45;7025;6729;1
D37;MP30;00:09:00;177;5653;1
D38;MP30;00:09:15;2706;1260;1
D39;MP30;00:09:30;6741;5375;1
D40;MP30;00:09:45;5898;3705;1
D41;MP30;00:10:00;3702;1424;1
D42;MP30;00:10:15;5109;5283;1
D43;MP30;00:10:30;4044;4333;1
D44;MP30;00:10:45;3802;4458;1
D45;MP30;00:11:00;5469;6522;1
D46;MP30;00:11:15;166;3630;1
D47;MP30;00:11:30;2017;5855;1
D48;MP30;00:11:45;7589;399;1
D49;MP30;00:12:00;6759;1274;1
D50;MP30;00:12:15;1150;4105;1
D51;MP30;00:12:30;2812;1323;1
D52;MP30;00:12:45;1777;1951;1
D53;MP30;00:13:00;7283;3937;1
D54;MP30;00:13:15;3510;6587;1
D55;MP30;00:13:30;4798;2556;1
D56;MP30;00:13:45;7173;6918;1
D57;MP30;00:14:00;2397;6154;1
D58;MP30;00:14:15;7258;4981;1
D59;MP30;00:14:30;7076;6594;1
D60;MP30;00:14:45;7692;866;1
D61;MP30;00:15:00;311;5602;1
D62;MP30;00:15:15;7489;3924;1
D63;MP30;00:15:30;5657;1344;1
D64;MP30;00:15:45;1524;4794;1
D65;MP30;00:16:00;6955;4990;1
D66;MP30;00:16:15;2299;1496;1
D67;MP30;00:16:30;205;5313;1
D68;MP30;00:16:45;6712;4238;1
D69;MP30;00:17:00;3802;6309;1
D70;MP30;00:17:15;4858;4732;1
D71;MP30;00:17:30;7697;469;1
D72;MP30;00:17:45;4130;4738;1
D73;MP30;00:18:00;4941;716;1
D74;MP30;00:18:15;3349;7789;1
D75;MP30;00:18:30;6754;5577;1
D76;MP30;00:18:45;956;3380;1
D77;MP30;00:19:00;7553;3443;1
D78;MP30;00:19:15;1956;2752;1
D79;MP30;00:19:30;5109;6151;1
D80;MP30;00:19:45;7287;1450;1
D81;MP30;00:20:00;4316;4725;1
D82;MP30;00:20:15;3331;7835;1
D83;MP30;00:20:30;6718;7604;1
D84;MP30;00:20:45;4497;3691;1
D85;MP30;00:21:00;7688;4744;1
D86;MP30;00:21:15;2695;7360;1
D87;MP30;00:21:30;1773;2553;1
D88;MP30;00:21:45;1139;3928;1
D89;MP30;00:22:00;6412;7134;1
D90;MP30;00:22:15;5233;3846;1
D91;MP30;00:22:30;1627;2934;1
D92;MP30;00:22:45;2032;5185;1
D93;MP30;00:23:00;1524;7032;1
D94;MP30;00:23:15;5599;613;1
D95;MP30;00:23:30;6684;5377;1
D96;MP30;00:23:45;7516;6713;1
D97;MP30;00:24:00;112;159;1
D98;MP30;00:24:15;7692;1203;1
D99;MP30;00:24:30;1869;2530;1
